,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Sup_2_L,Thal_IL_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_L,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,Raphe_M,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,Thal_MGN_L,Hippocampus_L,Thal_PuL_R,Vermis_3,Cuneus_R,Thal_MDm_R
SN_pc_R,1.0,-0.14395244669186655,-0.04368399526143476,0.3406432755482929,0.07535575181926062,0.1549917565185351,-0.04696789379410301,-0.3277426039668464,0.07838926177362565,-0.059118099356559636,-0.30392832352043264,0.017252077574017356,0.3196200808849697,0.252032776696822,-0.02995205348951175,0.24867532755130684,0.024661458129106393,0.15605488051559882,-0.2269844531467491,-0.18039289235784137,0.3199238121078373,0.24287855411801332,0.38322643879927293,-0.299548304701121,0.4775088873751846,0.34847462293356335,0.23547165622526436,-0.2670361878192808,-0.15068036639238694,0.11865364351638069,-0.014608087502145557,0.14779121783560728,-0.013522921022635139,0.43470847587131534,0.08994627555538136,0.32966680514678137,-0.057470203601513045,-0.11858469460724988,0.3045674618565591,0.26032212764079776,-0.03180420375120569,0.43538926675845757,0.14878641735993875,-0.29995691671512403,0.3535910680379325,-0.22314358035454948,0.3794032614929805,0.17285894642241098,-0.08883398440512115,-0.2730728736768809,0.17911790715534948,0.24986772838429155,0.24550274728746474,0.1408282226832899,-0.017666001560604876,0.4231938560318909,-0.05627965161016133,-0.3849063612547038,0.07400674985861999,-0.2779919334245621,-0.027115497350723397,-0.008875269371605208,0.039461024607855444,0.06995383319831322,0.4097894228673899,0.39900653706465816,0.14758741170148168,0.11095704677465566,0.5707256619897147,-0.17356446893176122,0.2417443060299139,0.3883237774982924,0.014106064842033953,-0.12389772748585659,0.41044033999719154,0.1974250520500937,0.24725826666312767,0.058644576513916774,-0.19864428599957046,0.06658632971956738,0.42475397217458943,-0.09594302855605753,0.025492929486078696,-0.06624917251691849,-0.236438650408484
Thal_MDl_L,-0.14395244669186655,1.0,0.2374216891862838,0.021126838648804335,0.24140592845662837,0.1889316192957708,-0.29965299300829257,0.09064037413778933,-0.14271453665343412,0.41404419187552965,-0.14809955826129556,0.7380066241716308,0.0328890740067991,0.3575156446144408,0.12344088170973695,0.31951902438932883,0.2835255420301185,-0.0668851689769876,0.3884634802214313,0.10300170808440029,0.14955671384050107,0.4955063673006876,0.1554630779149077,0.07718110058249189,-0.1742482528208442,0.45870608208636116,0.01100978577675089,-0.3149908243670503,0.017727811791514458,-0.21090855678755202,0.20216595294772166,0.09693081750520853,-0.4672642770026577,0.20103071949026285,0.19037602406611243,-0.18726859317224698,-0.1898476032585068,0.24261688764338085,-0.014299763966862715,0.20388537214951494,0.23550777471399056,0.3892977140831795,0.7414236800641878,0.28289565353706086,0.05204492122200284,-0.3030059969661438,0.37227658246496104,0.2607513911595083,-0.23595259731405813,0.09961434990436488,0.558792671197712,-0.06609617013072634,0.26573518149380776,0.2619063313777745,0.40371281608483567,0.26342685469983446,0.14230643997676587,0.4630359125657462,-0.3081712165566474,-0.08490394266053496,0.026202602798839906,0.07332701463847528,0.5803882505366023,0.5085082536792029,0.3897267037035958,0.15888132867498642,0.17593169536324896,-0.23062995320727703,-0.5210334229599836,0.024114568913343244,0.011928688107827204,0.28054389549024533,-0.2200767142909216,0.12361179650360586,0.4942491131251981,-0.004804998806364688,0.11523902536086647,0.11492722543786346,0.040185282560211484,0.23653651493975006,0.30564580047152373,-0.1859705435733755,-0.46287063702191805,-0.2708075172840206,0.1321664052185547
OFCpost_R,-0.04368399526143476,0.2374216891862838,1.0,-0.3067056393914664,0.5055721836600577,0.20559978279256633,0.1747492152178845,0.10276289818655256,0.042945242879516315,0.202870039562513,0.11498375683952457,0.33920608894095633,0.3587018029202038,0.26610137663387023,0.3845283199323709,0.27851820939691674,0.3532836457065855,0.09758684137722994,-0.0972206179705564,0.23588347989028588,0.39677236781415215,0.1676843863539628,0.5187351578498827,0.3290350886809665,0.23801399811964769,0.05331185238692353,0.11077872197266647,0.04924643550461337,0.2678894032230467,-0.3901240571785102,0.49997399816017124,-0.08094825077746966,-0.2203044751335308,-0.04751406834645286,0.37954955299562815,-0.05926815458241988,-0.2616563490736969,0.6360530355141867,-0.062393930642254625,0.22373562325338028,0.5430893656580379,0.06002733144901813,0.26487191699401463,0.11834687158414714,-0.003245298307215345,0.14957518366158656,0.09755703463752083,0.2762838489524935,-0.32897040685855644,0.14588059948390153,0.17709217824999285,-0.030043429788692837,0.05766790747256778,0.001905130850206794,-0.012543043701405557,-0.039411663229641576,0.12105581728957222,-0.0002391365133363749,-0.5818931216701073,0.22419301681808151,0.17388253980751844,0.3567033155729959,0.42471093511476504,0.09337391812245839,0.1919717225633813,-0.0719566030383629,0.5766192870031974,-0.04390182117555378,-0.0331204618244375,-0.08198040246014243,0.029366075669507132,0.111613616698131,-0.3465612192475516,0.5459866054141623,0.3823457311395596,0.025990524173362062,0.24681138751045692,-0.1265568815966514,0.23841544336401777,0.04238280810277407,0.18544579543603093,0.10811781077145174,0.1473114234294159,0.1399864145792402,0.23445945664741302
Temporal_Sup_R,0.3406432755482929,0.021126838648804335,-0.3067056393914664,1.0,-0.3710796730045443,0.21598624014942552,-0.10664598098175733,-0.35186523519867013,0.23454210923229799,-0.0669359740599369,-0.17280742461137555,0.038188224892082394,0.26980921003418884,0.31848328075441684,-0.06396175118856572,0.40015882281681925,-0.4273788356257687,-0.022325490276098692,-0.06350925263609837,-0.6525832993070433,0.0232687290911934,0.3136919845324951,0.3071928135337076,-0.7288787675851325,-0.09901835927546793,0.4461033319066446,0.3660402776204979,-0.36112920420510813,-0.10593525593327585,0.799248502747929,-0.2150922526963654,0.4003042999559006,0.38644887076403855,0.20390682908613572,-0.217082750013755,0.0148248172720915,0.6178787496110228,-0.21878093341217736,0.5315412687026165,0.058474432749201964,-0.45742632517164433,0.27239634664185736,0.3563082359501476,-0.11800935132683403,0.5481254835539088,-0.23226696801567245,0.5519010565794148,-0.0751571755027909,0.49277709250952295,0.07824781680834021,0.10698813507270177,0.5598939649111269,0.12435016299119456,0.4295286914835467,-0.09279734896826825,0.49453254887597414,0.3232482884855373,0.05562223579414799,0.6481416612049263,-0.24900612092439056,0.15219155591784633,-0.500967938650121,-0.08510992739537444,0.1327919344727002,0.2501966737426339,0.7230874688000141,-0.2076592685479749,0.2153139233945867,-0.007039037929397564,0.2803197513484526,0.060407007628825046,0.6083734664507285,0.5332499703162116,-0.5428797958578255,0.10732240509978726,0.06505551551864329,0.600620569166329,0.273122826236326,-0.29120128080680435,-0.10610218566617434,0.09256793146316873,-0.3934202429759937,0.05570542258866759,0.00364753546498142,-0.21903039028857343
OFClat_L,0.07535575181926062,0.24140592845662837,0.5055721836600577,-0.3710796730045443,1.0,0.10492258046039911,-0.2046211133038023,-0.21551261074733483,-0.516514179284462,0.08990789580371454,-0.08803852354513964,0.1846275291524307,0.32308788826627177,0.15949829608047192,-0.024579533490972964,-0.1356937664533822,0.5529969788943705,0.2661530489098299,0.015037395553463036,0.0870611342510213,0.24120610206181306,0.38962492930043274,0.14900923514833567,0.12864828176116075,-0.012654506911245795,0.09385162001213884,-0.0689531919124089,0.09791484661683818,0.12765872619225624,-0.47206420982260583,0.029975803721001424,0.17782650797302518,-0.4138280537591604,0.3056106606434755,0.4617664301093358,0.02901106277428575,-0.5963321234592254,0.3199589793481917,0.24750967511712005,0.15711413142591968,0.31997836140208913,0.041452708104866724,0.24528768586910085,0.24730902579739394,-0.3883947672062565,-0.14330852571237793,0.1344206337735099,0.5490076343769662,-0.2685035380633823,-0.386085183982137,0.31589730639606883,0.22373853485109893,0.04515370948363215,0.12835160022526534,0.2944286711167125,0.2351677738493962,-0.24415205502140802,-0.04610284471924507,-0.4197521397847713,-0.0017557933465716376,-0.18021794047128495,0.1491996411082632,0.43283011471402594,0.16547324505998615,0.3962625105456311,-0.11809169038570203,0.29327570415239484,-0.3087238329708974,0.04422684936856291,-0.3661478895689573,0.3670470782563581,0.18259285650997886,-0.3812965488154679,0.2553536206097703,0.5088498119693737,0.2542109789640784,-0.14446999652036746,0.12104249483212216,-0.2158892598305773,0.13668602187592835,0.45935025765523513,0.08580483988563191,-0.2669757516987053,-0.34176309665705645,0.09167224835486408
Heschl_R,0.1549917565185351,0.1889316192957708,0.20559978279256633,0.21598624014942552,0.10492258046039911,1.0,0.07029307018326494,-0.485385253369962,-0.2636172176100822,-0.012743446875210437,-0.0552739132997326,0.08591792731287096,0.3635771730908515,0.3992040849108462,0.024442181767786984,-0.016059438114701938,0.056158660974443525,0.03344459828865027,0.36421808751400053,0.13866937095175183,0.007729157463413315,0.21758646568074375,0.5084251403191276,0.11245638329700527,0.04159643085959273,0.012563566622337435,0.251275391434019,-0.09081379347662841,0.13948792284059544,-0.043814269381615166,0.0607516729844684,0.006667157766251554,-0.05715139225151372,0.27260842276199376,-0.13984935879739474,0.060869096692823164,0.02276654169292297,0.07244573506129524,0.08359330639102505,-0.2316185589951949,0.1181574407209,0.21464735911523622,0.4279103406247154,0.20195406223637075,0.12559238297332903,-0.16286423984931736,0.15944989946321553,0.5609920808707467,-0.06443283754567909,0.18791135716721905,0.013447686840478916,0.16712362150393828,0.14189584706033825,0.2526882079866751,-0.010442589744267212,0.2598194990747891,0.09987420544582926,0.1159198295057173,-0.057902679865888165,-0.1667369526379594,0.11987456542995115,-0.057610673983706624,0.36982382538304326,0.3745688117781756,0.3208974605680736,0.1670174668067468,0.33560798785175483,-0.11827916853107158,-0.049943297660102026,-0.09142517607310192,0.16325174585445787,0.24814832536991374,-0.12058867184457218,0.18385079320091818,0.2686219095801266,0.009907425445408628,0.04006596035184116,0.0846108171820776,-0.09593459024210335,-0.18117483893230693,0.20295475451058398,0.22536300261451644,-0.024573311254562004,0.056387081280846234,-0.02708370088076477
Cuneus_L,-0.04696789379410301,-0.29965299300829257,0.1747492152178845,-0.10664598098175733,-0.2046211133038023,0.07029307018326494,1.0,0.3269477006070897,0.49428104447861926,-0.08516501686714578,0.46017887269437535,-0.07038330698085198,0.23765718128192118,-0.038461894920165406,0.5650633584802633,0.05094722470272931,0.19169488269221957,-0.0063379722547555525,-0.1448805404275577,0.07983264802989089,0.25948345537158496,-0.6530936439370469,0.19115806476520578,0.3628342989576104,0.29971452231216855,-0.3280980908498071,0.1653986985632957,0.537425367884009,0.44091950753043335,0.011679808869622636,0.47933988419766416,-0.45186087217004395,0.5771118797568836,-0.4339251073664897,0.1703739435820256,0.02198786393334132,0.386108988483361,0.3787787874663869,-0.22750694149343778,0.15011409729459455,0.4750703848955611,-0.20924182060628324,-0.48771201606796616,0.26436737421274165,-0.011863807526745604,0.8415624007050453,-0.2389724946102917,-0.389919250829546,0.1697396658385296,0.2643887798911302,-0.43338237160604914,-0.23239932052602746,-0.3228622533429876,-0.5637369271878733,-0.4288746539460468,-0.43481593721139034,0.4734144229523545,0.17896077831076956,-0.18618067008645162,0.4248278301010477,0.6273027714760459,0.2567420877839183,0.07698137020592567,-0.21911898426952778,-0.38598050582834526,-0.005195264950167981,0.567516455053685,0.36802564481901434,0.13154471224417627,0.23411861768297798,-0.18139652812595258,-0.37664819323594245,0.37879306330825,0.6205307466587365,-0.39834168290909805,-0.24165978449744108,0.23707217823620463,-0.337281495988888,0.3848914938675471,0.16070381097550804,-0.23236168917580474,0.5529248321444672,0.6351922483733761,0.9151563799996026,0.3798347883362069
Occipital_Inf_R,-0.3277426039668464,0.09064037413778933,0.10276289818655256,-0.35186523519867013,-0.21551261074733483,-0.485385253369962,0.3269477006070897,1.0,0.5174245599435459,0.04872414761582651,0.3705869097922002,0.1884268992606117,-0.3343218662528983,-0.10666117174978824,0.3560756197369649,0.17430796195506723,0.23015853402605566,-0.38334888937203293,-0.06123888420316066,0.2990654915066254,0.19872342380074123,-0.3366887635712203,-0.04570347617820182,0.4071081916358336,0.12775528022155988,0.0305771150116671,-0.06863707349625973,0.16848338928121814,0.060846373617688014,-0.18678083113423233,0.34732694414266424,-0.3191283024715687,-0.04107745523068664,-0.3962389740261433,0.35757764370040984,0.04930536532306561,0.05883201861096241,0.2538475321761188,-0.2650407317218458,0.20256215129864788,0.4353160006901808,-0.009448554818140284,-0.28608720211661964,0.09231195485816837,0.13980452012289116,0.42355510577251865,-0.1605593250759228,-0.5545126588856855,-0.14955273412633097,0.2151781608262147,-0.0592579973023162,-0.4184827956528032,-0.047761326928106994,-0.4922474033342012,-0.05528752049002713,-0.30802177539574116,0.3248417994881108,0.10691100708009264,-0.30604257663669204,0.41960985857238153,0.24034985859560445,0.20024106075821688,-0.062034806990513655,-0.06302606284096636,-0.31769030919275565,-0.1681375037087459,0.16791686068613537,0.3740081978017634,-0.024690760076925562,0.21190485435734369,-0.3276759943340851,-0.4080309085252087,-0.013744745647772802,0.4252298157622833,-0.36483858882356196,-0.2633806203650048,0.1342358395185126,-0.28077636761533226,0.643098937152829,0.2953719331151392,-0.18741916506390324,0.08414920165235078,0.17935959847391747,0.34914709437749397,0.19091987723458817
Temporal_Inf_R,0.07838926177362565,-0.14271453665343412,0.042945242879516315,0.23454210923229799,-0.516514179284462,-0.2636172176100822,0.49428104447861926,0.5174245599435459,1.0,0.014468106375864969,0.22835476297471527,0.1396807790301332,0.08683477398607344,0.024144839833389522,0.5866116675534169,0.5225362608887341,-0.1176537083905705,-0.08385969517357537,-0.34547472129761353,-0.2086219812339076,0.32823127073926145,-0.37004374091422504,0.2626536096659554,-0.15431732768695341,0.3745340786669996,0.15141070415428973,0.3564573580799826,-0.13723599025392072,-0.12220808888357931,0.23816273294375653,0.483269298145882,-0.1626134718626629,0.36630774595245463,-0.4122262295817685,0.058907835015133234,-0.00022725876965359044,0.48254276402492297,0.21780234200426268,-0.13428290840610008,0.3183293462366902,0.21354785776012483,0.04544954773001501,-0.23938358852331934,-0.21080363297825638,0.38995076488504776,0.3739381093308605,-0.004342652567806558,-0.6983783966847388,-0.027362313707133316,0.2955836154835311,-0.13330253905334966,-0.19789061011649547,-0.10760941482253676,-0.35059303773836037,-0.42217923287741826,-0.27366017797317616,0.582029359463713,-0.04997305591061027,-0.05286403778838169,0.2511020481283177,0.38705572189373877,0.14238929150890695,-0.23493695182073085,-0.19690050966602243,-0.3231301713174344,0.17849510030915747,0.1952847703800931,0.5235070292235133,0.16275845649283308,0.2889719063268891,-0.33762092162785484,-0.05910575242228059,0.372723230387256,0.18558234925131284,-0.2518393734364561,-0.14734005315472024,0.53954628097813,-0.12433883075842544,0.35595814589057845,0.10715030645392712,-0.26972084022981807,-0.05295244328178483,0.4419267253734653,0.57586245957739,0.04254108181964042
Red_N_R,-0.059118099356559636,0.41404419187552965,0.202870039562513,-0.0669359740599369,0.08990789580371454,-0.012743446875210437,-0.08516501686714578,0.04872414761582651,0.014468106375864969,1.0,-0.5016163527967171,0.5516010336141572,0.028799046884651115,-0.16433810203300042,0.11936855302042985,0.18034215332489326,-0.19885243611174333,0.5056482418110012,-0.3831176774472429,-0.09222751023030887,0.11713125310389445,0.2412097894303716,0.02012037774962958,-0.07078218422172242,-0.14873967248729603,0.07439380415583392,0.018550023664041012,-0.16962335859772104,0.10005527951780836,0.10078607393251189,0.4007709496567501,0.0836948507528894,0.024856726224532534,-0.21869838021970886,-0.11320492917601511,-0.7518872048436058,0.16029446663357297,0.43801347821429526,-0.04381533628833568,0.429118777987511,-0.09857678160690889,-0.1658982434149162,0.268140815872181,-0.017566071403568653,-0.0737738882053449,-0.05373367984609066,0.23245468895255442,0.12950575315981266,-0.019940752820272616,0.3815938752509103,0.2605359575956811,-0.05666042184543882,-0.08719299435536637,0.1262270731240813,0.4929084771529282,-0.157793961442582,-0.13085714101732432,0.5313483622234394,-0.06526587916681165,0.1024463623808045,0.19328021237226112,0.632573318714737,0.3162045744808143,0.07221635664694692,0.006044937278510622,0.015015955408849346,0.0576488154126675,-0.07197736651001108,-0.6054727453822439,0.09626703556883487,-0.04081203553569496,0.18212082407924712,-0.048094164979942455,-0.07012432565202946,0.3185232782245293,-0.02793793192246897,0.025047093114433983,-0.012596092492837782,0.15010269423772438,0.1434555272739773,-0.1262539879623655,-0.269405510459629,0.02533780631691925,-0.03111630620692946,0.555899069785411
